question,answer
Kiedy zaczyna obowiązywać nowy program Czyste Powietrze?,Nowa wersja programu zacznie obowiązywać 31 marca 2025 roku.
Jakie są główne cele nowego programu?,"Poprawa jakości powietrza, poprawa efektywności energetycznej budynków przez wymianę nieefektywnego źródła ciepła i termomodernizację domów."
Jak długo będzie trwał program?,Program obejmuje lata 2018–2032. Umowy z beneficjentami podpisywane będą do 31 grudnia 2030 r. Środki będą wydatkowane przez WFOŚiGW do 31 grudnia 2032 r.
Ile środków posiada aktualnie NFOŚiGW do dyspozycji w ramach programu?,"NFOŚiGW dysponuje budżetem Krajowego Planu Odbudowy (KPO) – 13,9 mld zł oraz środkami z Funduszy Europejskich na Infrastrukturę, Klimat, Środowisko (FEnIKS) – 7,9 mld zł. Nowy nabór wniosków od 31 marca 2025 r. finansowany jest ze środków Funduszu Modernizacyjnego (10 mld zł). Są to bezzwrotne dotacje."
Kto może zostać beneficjentem programu?,"O dofinansowanie mogą występować osoby fizyczne, które są właścicielami lub współwłaścicielami domu jednorodzinnego lub wydzielonego w nim lokalu mieszkalnego z wyodrębnioną księgą wieczystą. Minimalny okres tej własności musi wynosić 3 lata przed złożeniem wniosku o dofinansowanie. Wymóg ten nie dotyczy sytuacji spadkowych. Ponadto muszą spełniać kryteria dochodowe określone w programie, a w przypadku najwyższego dofinansowania – także wymogi dotyczące standardu energetycznego budynku."
Jakie są możliwe rodzaje dofinansowania?,"W programie dostępne są obecnie następujące formy wsparcia: Dotacja – przyznawana przez wojewódzki fundusz ochrony środowiska i gospodarki wodnej (WFOŚiGW). Wypłacana w całości lub maksymalnie w trzech częściach, po złożeniu wniosku o płatność i udokumentowaniu realizacji przedsięwzięcia; Dotacja z prefinansowaniem – dostępna dla podwyższonego i najwyższego poziomu dofinansowania. Środki wypłacane są zaliczkowo przed rozpoczęciem inwestycji, na podstawie dyspozycji wypłaty zaliczki złożonej przez beneficjenta wraz z fakturą zaliczkową wystawioną przez wykonawcę, który zawarł umowę z beneficjentem na realizację przedsięwzięcia w ramach prefinansowania. Prefinansowanie w nowej odsłonie dostępne jest tylko przez operatora."
Jaka jest rola operatorów w programie Czyste Powietrze?,"To nowe rozwiązanie w nowej odsłonie programu Czyste Powietrze, które obowiązuje od 31 marca 2025 r. Rolą operatorów jest wsparcie beneficjentów najwyższego i podwyższonego poziomu dofinansowania, w tym wszystkich beneficjentów korzystających z prefinansowania. Operator poprowadzi beneficjenta krok po kroku przez całą ścieżkę w programie i zapewnia pełną opiekę i wsparcie od podjęcia decyzji o realizacji inwestycji, przez proces inwestycyjny, aż do jego zakończenia i rozliczenia umowy o dofinansowanie."
Jakie są poziomy dofinansowania i ich progi dochodowe?,"podstawowy poziom – do 40% dofinansowania, próg dochodu: 135 000 zł/rok podwyższony poziom – do 70% dofinansowania, próg dochodu: 2 250 zł/osobę w gospodarstwie wieloosobowym 3 150 zł w gospodarstwie jednoosobowym roczny przychód z tytułu prowadzenia działalności gospodarczej – maksymalnie czterdziestokrotność kwoty minimalnego wynagrodzenia za pracę. najwyższy poziom – do 100% dofinansowania, próg dochodu: 1 300 zł/osobę w gospodarstwie wieloosobowym 1 800 zł w gospodarstwie jednoosobowym lub otrzymywanie zasiłków (stały, okresowy, rodzinny, specjalny opiekuńczy) roczny przychód z tytułu prowadzenia działalności gospodarczej – maksymalnie dwunastokrotność kwoty minimalnego wynagrodzenia za pracę. Zapotrzebowanie na energię użytkową do ogrzewania w budynku powyżej 140 kWh/m2/rok."
"Jakie warunki musi spełniać budynek, aby można było przeprowadzić przedsięwzięcie modernizacyjne?","Budynek musi mieć pozwolenie na budowę wydane do 31.12.2020 r. Warunki zależą od wskaźnika zapotrzebowania na energię użytkową do ogrzewania. Budynki dzielą się na trzy kategorie: Lp. Warunek wartości wskaźnika zapotrzebowania na energię użytkową do ogrzewania dla budynku/lokalu mieszkalnego Rodzaj przedsięwzięcia Przed rozpoczęciem przedsięwzięcia Po zakończeniu przedsięwzięcia 1 poniżej 80 kWh/(m²·rok) poniżej 80 kWh/(m²·rok) tylko źródło ciepła 2 od 80 do 140 kWh/(m2*rok) w przypadku, gdy w ramach przedsięwzięcia wymieniane jest tylko źródło ciepła: brak zwiększenia w przypadku, gdy w ramach przedsięwzięcia realizowana jest termomodernizacja: nie więcej niż 80 kWh /(m2*rok), przy czym zmniejszenie wartości wskaźnika musi wynieść co najmniej 40% tylko źródło ciepła lub tylko termomodernizacja (jeśli już jest efektywne źródło ciepła) lub źródło ciepła i termomodernizacja 3 powyżej 140 kWh/(m²·rok) nie więcej niż 140 kWh /(m2*rok), przy czym zmniejszenie wartości wskaźnika musi wynieść co najmniej 40% tylko termomodernizacja (jeśli już jest efektywne źródło ciepła) lub źródło ciepła i termomodernizacja"
Co obejmuje modernizacja budynków o wskaźniku poniżej 80 kWh/(m²·rok)?,"Jeśli budynek posiada przestarzałe źródło ciepła na paliwo stałe (niższe niż 5 klasa wg EN 303–5), przedsięwzięcie obejmuje: demontaż starego źródła ciepła, zakup i montaż nowego źródła ciepła zgodnego z programem, dodatkowo: wymianę instalacji c.o. i c.w.u., wykonanie dokumentacji technicznej."
Jaki jest zakres przedsięwzięcia dla budynków o wskaźniku od 80 do 140 kWh/(m²·rok)?,"W przypadku takich budynków możliwe są trzy zakresy przedsięwzięcia tj.: tylko źródło ciepła lub tylko termomodernizacja (jeśli już jest efektywne źródło ciepła) lub źródło ciepła i termomodernizacja.
W zależności od zakresu wymagana jest lub nie redukcja wskaźnika, tzn.: w przypadku, gdy w ramach przedsięwzięcia wymieniane jest tylko źródło ciepła: brak zwiększenia w przypadku, gdy w ramach przedsięwzięcia realizowana jest termomodernizacja: nie więcej niż 80 kWh /(m2*rok), przy czym zmniejszenie wartości wskaźnika musi wynieść co najmniej 40%."
Co obejmuje modernizacja budynków jeśli wskaźnik przekracza 140 kWh/(m²·rok)?,"Dla budynków o najwyższym wskaźniku (powyżej 140 kWh/m²·rok) przedsięwzięcie musi zapewnić redukcję zapotrzebowania na energię do maksymalnie 140 kWh/(m²·rok) oraz zmniejszenie zużycia co najmniej o 40%. W ramach modernizacji można wykonać: wymianę źródła ciepła (tylko wtedy, gdy budynek nie jest wyposażony w źródło ciepła spełniające warunki programu), wymianę instalacji centralnego ogrzewania, montaż wentylacji mechanicznej z odzyskiem ciepła, termomodernizację (ocieplenie budynku, wymiana okien, drzwi, bram garażowych), dokumentację projektową i ekspertyzy."
Czy można przeprowadzić modernizację bez wymiany źródła ciepła?,"Tak, jeśli budynek posiada już efektywne źródło ciepła spełniające warunki programu. Wówczas modernizacja może obejmować: montaż wentylacji mechanicznej z odzyskiem ciepła, ocieplenie przegród budowlanych, wymianę okien i drzwi, dokumentację techniczną i ekspertyzy, przy czym wiąże się to z koniecznością osiągnięcia określonych wskaźników wymaganych programem i ustalonych w audycie energetycznym."
Czy audyty energetyczne są obowiązkowe?,"Tak, wymagane są: audyt energetyczny przed rozpoczęciem inwestycji oraz dokument podsumowujący audyt energetyczny, który jest obowiązkowym załącznikiem do wniosku o dofinansowanie, określającym rodzaj i zakres przedsięwzięcia, który będzie wymagany do zrealizowania w celu uzyskania dotacji świadectwo charakterystyki energetycznej po zakończeniu przedsięwzięcia."
Czy można otrzymać dofinansowanie na kilka budynków?,"Nie, dofinansowanie przysługuje tylko na jeden budynek/lokal i można je otrzymać tylko raz.  Z dofinansowania można skorzystać wtedy, jeśli nie jest się beneficjentem programu w związku z realizacją przedsięwzięcia w innym budynku/lokalu mieszkalnym na podstawie wniosku o dofinansowanie złożonego w naborze od 22.04.2024 r."
